Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore,Threat,fracIPL,percentHabitat_IPL
Bolitoglossa engelhardti,AMPHIBIA,EN,Forest important,Decreasing,NA,2670,1200,2700,NA,193,62,677,597,1529,0.040549379,0.442773054,0.390451275,0.126226292,16,Threatened,0.83322433,99
Bolitoglossa epimela,AMPHIBIA,DD,Forest important,Unknown,NA,NA,475,1850,NA,178,200,9,0,387,0.516795866,0.023255814,0,0.45994832,8,Data Deficient,0.023255814,20
Bolitoglossa equatoriana,AMPHIBIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,9113,3500,9438,3611,25662,0.136388434,0.367781155,0.140713896,0.355116515,2,Not Threatened,0.508495051,60
Bolitoglossa eremia,AMPHIBIA,EN,Forest important,Decreasing,NA,241,1315,2960,NA,0,0,19,0,19,0,1,0,0,16,Threatened,1,100
Bolitoglossa flavimembris,AMPHIBIA,EN,Forest important,Decreasing,NA,2753,1200,3250,NA,276,113,802,733,1924,0.058731809,0.416839917,0.380977131,0.143451143,16,Threatened,0.797817048,80
Bolitoglossa magnifica,AMPHIBIA,EN,Forest important,Decreasing,NA,166,950,2900,NA,46,137,0,0,183,0.74863388,0,0,0.25136612,16,Threatened,0,0
Bolitoglossa franklini,AMPHIBIA,VU,Forest important,Decreasing,3238,6009,1200,3500,NA,808,1374,633,587,3402,0.403880071,0.186067019,0.172545561,0.237507349,8,Threatened,0.358612581,40
Bolitoglossa marmorea,AMPHIBIA,EN,Forest important,Decreasing,NA,219,1620,3745,NA,8,144,0,0,152,0.947368421,0,0,0.052631579,16,Threatened,0,0
Bolitoglossa medemi,AMPHIBIA,LC,Forest important,Decreasing,NA,187634,-300,1158,NA,53322,3806,20271,2740,80139,0.047492482,0.252948003,0.034190594,0.665368921,2,Not Threatened,0.287138597,40
Bolitoglossa meliana,AMPHIBIA,EN,Forest important,Decreasing,NA,413,1250,3030,NA,0,0,346,84,430,0,0.804651163,0.195348837,0,16,Threatened,1,100
Bolitoglossa minutula,AMPHIBIA,EN,Forest important,Decreasing,NA,3505,1200,2960,NA,109,633,16,16,774,0.817829457,0.020671835,0.020671835,0.140826873,16,Threatened,0.041343669,20
Bolitoglossa morio,AMPHIBIA,VU,Forest important,Decreasing,NA,5088,1000,3350,NA,190,19,1715,1236,3160,0.006012658,0.542721519,0.391139241,0.060126582,8,Threatened,0.933860759,99
Bolitoglossa ninadormida,AMPHIBIA,CR,Forest important,Decreasing,NA,10,2612,3520,NA,0,0,110,31,141,0,0.780141844,0.219858156,0,32,Threatened,1,100
Bolitoglossa oaxacensis,AMPHIBIA,EN,Forest important,Decreasing,1635.46,1650.52,1500,2220,NA,414,0,243,0,657,0,0.369863014,0,0.630136986,16,Threatened,0.369863014,40
Bolitoglossa obscura,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1255,1855,NA,0,17,0,0,17,1,0,0,0,11,Data Deficient,0,0
Bolitoglossa omniumsanctorum,AMPHIBIA,EN,Forest important,Decreasing,NA,3268,2036,3274,NA,0,0,710,17,727,0,0.976616231,0.023383769,0,16,Threatened,1,100
Bolitoglossa oresbia,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,44,1280,2180,NA,4,41,0,0,45,0.911111111,0,0,0.088888889,32,Threatened,0,0
Bolitoglossa suchitanensis,AMPHIBIA,CR,Forest important,Unknown,4,8,1550,2320,NA,0,10,0,0,10,1,0,0,0,32,Threatened,0,0
Bolitoglossa orestes,AMPHIBIA,EN,Forest important,Stable,NA,2103,1500,3800,NA,964,566,35,35,1600,0.35375,0.021875,0.021875,0.6025,16,Threatened,0.04375,20
Bolitoglossa synoria,AMPHIBIA,CR,Forest important,Decreasing,NA,98.99,1850,3000,NA,29,15,20,27,91,0.164835165,0.21978022,0.296703297,0.318681319,32,Threatened,0.516483516,60
Bolitoglossa pacaya,AMPHIBIA,EN,Forest important,Decreasing,NA,661,1400,2600,NA,101,14,0,0,115,0.12173913,0,0,0.87826087,16,Threatened,0,0
Bolitoglossa tamaense,AMPHIBIA,EN,Forest important,Decreasing,NA,424,1700,3000,NA,236,67,0,0,303,0.221122112,0,0,0.778877888,16,Threatened,0,0
Bolitoglossa palmata,AMPHIBIA,LC,Forest unimportant,Unknown,NA,NA,1300,2660,NA,1130,2949,160,65,4304,0.68517658,0.037174721,0.01510223,0.262546468,2,Not Threatened,0.052276952,20
Bolitoglossa tatamae,AMPHIBIA,EN,Forest important,Stable,NA,1561.69,1250,2885,NA,864,373,111,9,1357,0.274871039,0.081798084,0.006632277,0.6366986,16,Threatened,0.088430361,20
Bryophryne hanssaueri,AMPHIBIA,LC,Forest important,Stable,NA,28.9,2800,4000,NA,9,17,0,0,26,0.653846154,0,0,0.346153846,2,Not Threatened,0,0
Bolitoglossa pandi,AMPHIBIA,EN,Forest important,Decreasing,NA,2528.7,1000,2615,NA,701,47,0,0,748,0.062834225,0,0,0.937165775,16,Threatened,0,0
Bolitoglossa taylori,AMPHIBIA,EN,Forest important,Decreasing,NA,400,600,1700,NA,0,352,6,25,383,0.919060052,0.015665796,0.065274151,0,16,Threatened,0.080939948,20
Bryophryne phuyuhampatu,AMPHIBIA,LC,Forest important,Unknown,NA,10.3,2495,3150,NA,2,3,0,0,5,0.6,0,0,0.4,2,Not Threatened,0,0
Bolitoglossa tenebrosa,AMPHIBIA,EN,Forest important,Decreasing,NA,1200,1285,3135,NA,918,110,29,11,1068,0.102996255,0.027153558,0.010299625,0.859550562,16,Threatened,0.037453184,20
Caecilia antioquiaensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,800,1400,NA,4,0,0,0,4,0,0,0,1,3,Data Deficient,0,0
Bolitoglossa tica,AMPHIBIA,DD,Forest important,Unknown,NA,96,1445,2800,NA,5,27,0,0,32,0.84375,0,0,0.15625,11,Data Deficient,0,0
Caecilia bokermanni,AMPHIBIA,LC,Forest important,Unknown,NA,33913,NA,500,NA,37471,14511,10866,1019,63867,0.227206539,0.170134811,0.015955032,0.586703618,2,Not Threatened,0.186089843,20
Bolitoglossa tzultacaj,AMPHIBIA,CR,Forest important,Decreasing,NA,11,1500,2100,NA,97,6,0,0,103,0.058252427,0,0,0.941747573,32,Threatened,0,0
Caecilia flavopunctata,AMPHIBIA,DD,Forest important,Unknown,NA,1343,-200,900,NA,220,591,0,0,811,0.728729963,0,0,0.271270037,3,Data Deficient,0,0
Bolitoglossa veracrucis,AMPHIBIA,EN,Forest important,Decreasing,2586,3083.99,-300,800,NA,1788,19,706,12,2525,0.007524752,0.27960396,0.004752475,0.708118812,16,Threatened,0.284356436,40
Caecilia guntheri,AMPHIBIA,LC,Forest important,Unknown,NA,146488.1,-20,2000,NA,24916,3879,4362,8,33165,0.116960651,0.131524197,2.41E-04,0.751273933,2,Not Threatened,0.131765415,20
Bolitoglossa walkeri,AMPHIBIA,NT,Forest important,Decreasing,NA,23695.1,1400,2910,NA,7262,2510,224,15,10011,0.250724203,0.022375387,0.001498352,0.725402058,4,Not Threatened,0.023873739,20
Caecilia leucocephala,AMPHIBIA,LC,Forest important,Unknown,NA,NA,-250,1300,NA,39383,3629,12409,463,55884,0.064938086,0.222049245,0.008285019,0.70472765,2,Not Threatened,0.230334264,40
Bolitoglossa xibalba,AMPHIBIA,EN,Forest important,Unknown,NA,4894,1680,3520,NA,0,0,1009,1,1010,0,0.999009901,9.90E-04,0,16,Threatened,1,100
Caecilia nigricans,AMPHIBIA,LC,Forest important,Unknown,NA,NA,-300,1223,NA,71122,7752,17988,1200,98062,0.079052028,0.18343497,0.012237156,0.725275846,2,Not Threatened,0.195672126,20
Bolitoglossa yariguiensis,AMPHIBIA,EN,Forest important,Decreasing,NA,138.73,464,1773,NA,0,153,0,0,153,1,0,0,0,16,Threatened,0,0
Caecilia perdita,AMPHIBIA,LC,Forest important,Unknown,NA,44320.63,-230,600,NA,25832,1215,9555,457,37059,0.032785558,0.257832106,0.012331687,0.697050649,2,Not Threatened,0.270163793,40
Bolitoglossa zacapensis,AMPHIBIA,VU,Forest important,Decreasing,NA,NA,1300,2050,NA,84,3,0,0,87,0.034482759,0,0,0.965517241,8,Threatened,0,0
Caecilia pressula,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-50,550,NA,262,0,0,0,262,0,0,0,1,3,Data Deficient,0,0
Bolitoglossa zapoteca,AMPHIBIA,EN,Forest important,Unknown,NA,435,1575,2175,NA,0,0,80,0,80,0,1,0,0,16,Threatened,1,100
Caecilia subnigricans,AMPHIBIA,LC,Forest important,Unknown,NA,NA,-300,1340,NA,101617,14421,10065,5396,131499,0.109666233,0.076540506,0.041034533,0.772758728,2,Not Threatened,0.117575039,20
Brachycephalus alipioi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,615,1215,NA,161,0,0,0,161,0,0,0,1,3,Data Deficient,0,0
Brachycephalus brunneus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,21,0,0,0,21,0,0,0,1,3,Data Deficient,0,0
Caecilia tenuissima,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-300,NA,NA,125,23,0,0,148,0.155405405,0,0,0.844594595,3,Data Deficient,0,0
Callulina dawida,AMPHIBIA,CR,Forest important,Decreasing,4.3,NA,1097,2500,NA,145,0,0,0,145,0,0,0,1,32,Threatened,0,0
Callulina hanseni,AMPHIBIA,CR,Forest important,Unknown,NA,NA,1490,2200,NA,17,0,0,0,17,0,0,0,1,32,Threatened,0,0
Callulina kanga,AMPHIBIA,CR,Forest important,Unknown,NA,66.64,460,1440,NA,13,46,0,0,59,0.779661017,0,0,0.220338983,32,Threatened,0,0
Callulops glandulosus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2600,3640,NA,77,0,0,0,77,0,0,0,1,3,Data Deficient,0,0
Chiropterotriton melipona,AMPHIBIA,EN,Forest important,Decreasing,NA,508,390,1720,NA,3,28,366,14,411,0.068126521,0.890510949,0.03406326,0.00729927,16,Threatened,0.924574209,99
Callulops humicola,AMPHIBIA,LC,Forest important,Stable,NA,3772,1700,3400,NA,2764,1,0,0,2765,3.62E-04,0,0,0.999638336,2,Not Threatened,0,0
Chiropterotriton miquihuanus,AMPHIBIA,EN,Forest important,Stable,NA,375,2311,3381,NA,175,42,0,0,217,0.193548387,0,0,0.806451613,16,Threatened,0,0
Callulops kopsteini,AMPHIBIA,DD,Forest important,Unknown,NA,790,NA,NA,NA,592,0,30,0,622,0,0.048231511,0,0.951768489,11,Data Deficient,0.048231511,20
Chiropterotriton nubilus,AMPHIBIA,CR,Forest important,Unknown,NA,78,1220,2323,NA,116,1,0,0,117,0.008547009,0,0,0.991452991,32,Threatened,0,0
Chiropterotriton orculus,AMPHIBIA,VU,Forest important,Decreasing,NA,14592,2200,3500,NA,1836,955,174,222,3187,0.299654848,0.054596799,0.069657986,0.576090367,8,Threatened,0.124254785,20
Callulops marmoratus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,550,1200,NA,0,203,0,0,203,1,0,0,0,3,Data Deficient,0,0
Chiropterotriton perotensis,AMPHIBIA,CR,Forest important,Decreasing,NA,26,2650,4315,NA,14,19,0,0,33,0.575757576,0,0,0.424242424,32,Threatened,0,0
Callulops mediodiscus,AMPHIBIA,LC,Forest important,Unknown,NA,404,1300,2050,NA,29,0,0,0,29,0,0,0,1,2,Not Threatened,0,0
Chiropterotriton priscus,AMPHIBIA,NT,Forest important,Stable,NA,6321,1700,3950,NA,432,859,2,204,1497,0.573814295,0.001336005,0.136272545,0.288577154,4,Not Threatened,0.13760855,20
Callulops neuhaussi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,400,1000,NA,16,0,0,0,16,0,0,0,1,11,Data Deficient,0,0
Chiropterotriton terrestris,AMPHIBIA,CR,Forest important,Unknown,NA,99.8,1340,2400,NA,91,4,0,0,95,0.042105263,0,0,0.957894737,32,Threatened,0,0
Callulops omnistriatus,AMPHIBIA,LC,Forest unimportant,Stable,NA,2104,-280,1260,NA,137,15,0,0,152,0.098684211,0,0,0.901315789,2,Not Threatened,0,0
Chiropterotriton totonacus,AMPHIBIA,CR,Forest important,Decreasing,8,8,1700,2750,NA,3,0,0,0,3,0,0,0,1,32,Threatened,0,0
Callulops personatus,AMPHIBIA,LC,Forest unimportant,Stable,NA,60157,-60,1300,NA,19636,214,26,0,19876,0.010766754,0.00130811,0,0.987925136,2,Not Threatened,0.00130811,20
Choerophryne alainduboisi,AMPHIBIA,LC,Forest important,Stable,NA,343,100,1700,NA,40,2,0,0,42,0.047619048,0,0,0.952380952,2,Not Threatened,0,0
Callulops sagittatus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,1900,2683,NA,92,0,0,0,92,0,0,0,1,3,Data Deficient,0,0
Choerophryne allisoni,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1700,2800,NA,107,0,0,0,107,0,0,0,1,3,Data Deficient,0,0
Callulops stellatus,AMPHIBIA,LC,Forest unimportant,Stable,NA,727,-110,830,NA,739,0,0,0,739,0,0,0,1,2,Not Threatened,0,0
Choerophryne amomani,AMPHIBIA,DD,Forest important,Unknown,NA,NA,750,1500,NA,0,0,0,8,8,0,0,1,0,3,Data Deficient,1,100
Choerophryne arndtorum,AMPHIBIA,DD,Forest important,Unknown,NA,NA,200,1000,NA,0,0,6,9,15,0,0.4,0.6,0,3,Data Deficient,1,100
Callulops taxispilotus,AMPHIBIA,LC,Forest unimportant,Stable,NA,81244,-300,1320,NA,48682,1775,0,0,50457,0.035178469,0,0,0.964821531,2,Not Threatened,0,0
Choerophryne bickfordi,AMPHIBIA,LC,Forest unimportant,Stable,NA,15,-225,600,NA,0,28,0,0,28,1,0,0,0,2,Not Threatened,0,0
Callulops valvifer,AMPHIBIA,LC,Forest important,Stable,NA,6868,0,1200,NA,166,56,2108,281,2611,0.021447721,0.807353504,0.107621601,0.063577173,2,Not Threatened,0.914975105,99
Choerophryne bisyllaba,AMPHIBIA,LC,Forest unimportant,Stable,NA,152,1900,2700,NA,82,26,0,0,108,0.240740741,0,0,0.759259259,2,Not Threatened,0,0
Callulops wondiwoiensis,AMPHIBIA,LC,Forest important,Unknown,NA,NA,0,1050,NA,0,0,0,18,18,0,0,1,0,2,Not Threatened,1,100
Choerophryne brevicrus,AMPHIBIA,LC,Forest important,Stable,NA,706,1900,3200,NA,52,0,0,0,52,0,0,0,1,2,Not Threatened,0,0
Callulops yapenensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,0,1000,NA,0,0,8,10,18,0,0.444444444,0.555555556,0,11,Data Deficient,1,100
Ceuthomantis duellmani,AMPHIBIA,NT,Forest important,Unknown,NA,421,808,1675,NA,0,0,9,1966,1975,0,0.004556962,0.995443038,0,4,Not Threatened,1,100
Choerophryne murrita,AMPHIBIA,LC,Forest important,Stable,NA,2432,1100,2480,NA,1544,1,0,0,1545,6.47E-04,0,0,0.999352751,2,Not Threatened,0,0
Choerophryne nigrescens,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-295,1120,NA,0,0,8,10,18,0,0.444444444,0.555555556,0,3,Data Deficient,1,100
Choerophryne pipiens,AMPHIBIA,LC,Forest important,Unknown,NA,NA,1300,1900,NA,0,0,0,18,18,0,0,1,0,2,Not Threatened,1,100
Choerophryne proboscidea,AMPHIBIA,LC,Forest important,Stable,NA,75196,-300,800,NA,35420,263,726,0,36409,0.007223489,0.019940125,0,0.972836387,2,Not Threatened,0.019940125,20
